subject,section,traial,leftButton,rightButton,answer,leftTouched,rightTouched
2,10,104,2,2.125,4,1,1
2,10,105,2,1.5,5,1,1
2,10,106,2,1,6,1,2
2,10,107,2,1.25,6,2,1
2,10,108,2,2.25,4,1,1
2,10,109,2,1.125,6,1,1
2,10,110,2,2,5,2,1
2,11,111,1.875,2.125,3,1,1
2,11,112,1.875,1,6,1,1
2,11,113,1.875,1.625,4,2,2
2,11,114,1.875,1.75,4,1,1
2,11,115,1.875,1.875,4,1,1
2,11,116,1.875,1.125,6,1,1
2,11,117,1.875,1.5,5,1,1
2,11,118,1.875,1.375,6,1,1
2,11,119,1.875,1.25,6,1,1
2,11,120,1.875,2.25,3,1,1
2,11,121,1.875,2,5,1,1
3,1,1,1,1.625,2,4,3
3,1,2,1,1.5,2,2,2
3,1,3,1,2.125,1,3,3
3,1,4,1,1.25,4,2,2
3,1,5,1,1,4,4,3
3,1,6,1,1.875,3,3,2
3,1,7,1,1.375,3,5,5
3,1,8,1,2.25,1,2,3
3,1,9,1,1.125,4,2,4
3,1,10,1,1.75,2,1,2
3,1,11,1,2,1,2,2
3,2,12,1.25,1.875,3,6,7
3,2,13,1.25,1.25,4,3,3
3,2,14,1.25,1.125,4,3,2
3,2,15,1.25,2,7,3,2
3,2,16,1.25,1.5,4,4,4
3,2,17,1.25,1.375,5,3,2
3,2,18,1.25,2.125,1,2,3
3,2,19,1.25,1.75,3,4,4
3,2,20,1.25,1,7,3,2
3,2,21,1.25,2.25,2,2,1
3,2,22,1.25,1.625,3,2,2
3,3,23,2,1.125,6,2,6
3,3,24,2,1,7,2,2
3,3,25,2,2.25,4,2,2
3,3,26,2,1.625,5,2,2
3,3,27,2,1.75,5,2,3
3,3,28,2,1.25,6,2,2
3,3,29,2,1.5,7,2,4
3,3,30,2,2.125,4,2,2
3,3,31,2,1.875,5,7,8
3,3,32,2,1.375,6,2,4
3,3,33,2,2,4,3,3
3,4,34,1.625,1,5,4,3
3,4,35,1.625,1.625,6,2,2
3,4,36,1.625,1.375,5,2,3
3,4,37,1.625,2.125,2,2,2
3,4,38,1.625,1.25,6,2,2
3,4,39,1.625,1.5,5,5,4
3,4,40,1.625,1.125,6,2,2
3,4,41,1.625,1.875,3,4,4
3,4,42,1.625,2.25,3,3,5
3,4,43,1.625,1.75,4,5,5
3,4,44,1.625,2,6,2,2
3,5,45,2.125,1.875,5,2,2
3,5,46,2.125,1.75,5,3,2
3,5,47,2.125,1.375,7,3,2
3,5,48,2.125,1.5,7,2,2
3,5,49,2.125,2.25,4,3,4
3,5,50,2.125,2.125,5,2,2
3,5,51,2.125,1.25,6,3,4
3,5,52,2.125,1.625,6,11,8
3,5,53,2.125,1.125,6,2,4
3,5,54,2.125,1,7,2,2
3,5,55,2.125,2,5,4,5
3,6,56,1.5,2.25,4,5,5
3,6,57,1.5,2.125,2,4,3
